Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0358,Generisk data,Blähschiefer,Ekspanderet skifer,0.341109,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b76ded67-067b-47f6-b131-a73db86039b0?version=20.19.120,
#G0359,Generisk data,Lüfter zentral 5000 m³/h,Boksventilator 5.000 m³/h,217.047,3.04278,0.0251497,-130.012,1,STK,43,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b5d12008-3cfd-46d7-a564-1164f1a7ddf5?version=20.19.120,
#G0363,Generisk data,Steinzeugrohre DN 400,"Lerrør, glaseret, DN 400",51.5194,1.12871,-,-0.291665,1,M,142,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b59f6603-c75b-47bb-b1f1-5336affb2acd?version=20.19.120,
#G0366,Generisk data,Expandierter Kork,"Kork, expanderet",-96.9007,151.505,-,-38.8339,1,M3,80,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b50fa992-e435-455a-8dfe-82254e9f4f48?version=20.19.120,
#G0369,Generisk data,Furnierschichtholz,Kertotræ (LVL),-465.421,896.177,-,-30.4837,1,M3,465.7,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b50f7b36-d9aa-40c5-b839-4925a1500952?version=20.19.120,
#G0372,Generisk data,Umwälzpumpe 50-250W,Cirkulationspumpe 50-250 W,26.4569,0.86599,0.0450712,-5.06214,1,STK,4.94,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b4e4d89b-e4d0-4df3-a233-deacc76b2fee?version=20.19.120,
#G0376,Generisk data,Tetrafluorethan (R134a),Tetrafluorethan (R134a),8.38634,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b47d86ac-60fa-46f7-ac5c-f98be4b7acdd?version=20.19.120,
#G0377,Generisk data,Tetrafluorpropen (R1234ze),Tetrafluorpropen (R1234ze),6.12734,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b3875fa1-4d62-40dc-ab2d-68fe1fbaf352?version=20.19.120,
#G0384,Generisk data,Zementmörtel,"Mørtel, cementmørtel",345.107,-,29.3017,-,1,M3,2000,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b2c3f5a3-7858-4644-a49a-2eb883d37c91?version=20.19.120,
#G0386,Generisk data,Pufferspeicher (Stahl),"Buffertank, stål",3.1687,0.663445,-,-1.42578,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b273afc9-27a1-4a82-a390-8780fd631008?version=20.19.120,
#G0389,Generisk data,Lüftungskanal (verzinktes Stahlblech),"Ventilationskanal, galvaniseret stål",3.04722,0.00163697,-,-1.58648,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b24ae8b5-e28a-42f7-a592-05779a347164?version=20.19.120,
#G0392,Generisk data,Fenster-Beschlag für Drehkippfenster (Aluminium),Beslag til dreje-kip vinduer (aluminium),12.3655,-,0.00068207,-2.66377,1,STK,1647,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b1efabb9-6371-4b96-9ee2-d1f11f9f3b25?version=20.19.120,
#G0393,Generisk data,Kraftpapier,Byggepap,-0.0897286,0.162065,-,-0.0579045,1,M2,0.08,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b1ea7c10-4471-4485-95bf-7dc0a00025b6?version=20.19.120,
#G0396,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 70 kW",2541.8,0,-,-,1,STK,987,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b12f748d-5aa2-4cf6-a0b7-46ce0465ee02?version=20.19.120,
#G0401,Generisk data,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 20 kW,Rør til el-varmepumpe (vand-vand) 20 kW,174.764,0.0147327,-,-28.0661,1,STK,48,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/af5e34f6-7790-431e-b535-fcc2c0e55aab?version=20.19.120,
#G0404,Generisk data,Flachsvlies,Hørfiberdug,16.0445,86.1825,-,-12.0031,1,M3,38,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/af13e5a8-0961-454a-ad3a-7093a37fc802?version=20.19.120,
#G0407,Generisk data,Schnittholz Eiche (12% Feuchte/10.7% H2O),"Træ, egetræ (12% fugt / 10,7% H2O)",-1063,1287.83,-,-341.221,1,M3,716.8,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7ec1d463-fd99-4b1d-9a57-9a72cac408d2?version=20.19.120,
#G0410,Generisk data,Gussasphaltestrich,Støbeasfalt,0.0972808,0,-,-0.0263052,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5bebcf89-2e6b-46ce-b05e-3e02929c8af4?version=20.19.120,
#G0413,Generisk data,Lüfter zentral mit WRG 5000 m³/h,Ventilationsaggregat m. varmegenvinding 5000 m3 / h,1460.38,1.77427,0.180285,-881.899,1,STK,367.94,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aca6eca0-ff86-4818-beac-76df2ffebaed?version=20.19.120,
#G0420,Generisk data,"Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)","Betontrappe, etagehøj",312.836,13.9419,-,-3.90288,1,STK,1965,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/ab0a0f3c-41f6-4b0a-a12c-f8bd0c8a4a23?version=20.19.120,
#G0423,Generisk data,ECB Kunststoff-Dachbahn nach DIN 16729 (mit PES Vlies),"ECB-plast tagmembran, ifølge DIN 16729 (med PES-filt)",8.23049,7.04063,-,-3.2606,1,M2,2.32,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aaf4baca-7530-435b-8736-0bd3bb51e36d?version=20.19.120,
#G0429,Generisk data,Solaranlage Vakuumröhrenkollektor,"Solvarmekollektor, vakuumrør",109.581,2.33419,-,-38.8375,1,M2,29.5,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aa6822f9-a10e-45c9-a164-f08ebc994379?version=20.19.120,
#G0432,Generisk data,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 10 kW,Rør til el-varmepumpe (vand-vand) 10 kW,136.135,0.0147327,-,-28.0661,1,STK,33,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aa0311ec-2e2a-4afa-af9e-5b6122b730ef?version=20.19.120,
